comments_disabled; id; edge_media_to_caption; shortcode; edge_media_to_comment; taken_at_timestamp; dimension; edge_liked_by; owner; is_video
False; 2242368311216235890; Das sind meine Favoriten nach der zweiten Folge :beaming_face_with_smiling_eyes:  Wer sind eure Favoriten?  #gntm2020 #germanysnexttopmodel2020 #gntm #germanysnexttopmodel #favorits #heidiklum #prosieben; B8efhk1ouVy; 41; 1581531155; (1080, 1080); 1507; 2954546610; False
False; 2242364925280376752; Adrenalin pur.. :face_with_tears_of_joy: Gibts unter uns Männer die es früher geübt haben? :see-no-evil_monkey: . . . Folgt uns auf @sexlounge_ :red_heart::white_heavy_check_mark: . . . #sexfakten #fakten #fakt #bh #büstenhalter #sexfakten1 #offenen #coolsein #frau #mädchen #junge #Mann #Sprüche #zitate #mittwoch #derbachelor #chillen #fernsehen #gntm2020 #lustig #üben #können #sexlounge #:red_heart:; B8eewTcIdew; 37; 1581530751; (1080, 1080); 1412; 12037606637; False
False; 2242362507707168545; Hallo ihr lieben, :smiling_face_with_smiling_eyes: heute ist schon wieder Mittwoch, zum Glück ist bald Wochenende.:party_popper: Bin aktuell sehr k.o unter der Woche :weary_face: Morgen ist dann Donnerstag und das heißt natürlich GNTM time. :high-heeled_shoe: Das Nacktshooting steht an, seid ihr auch schon soo gespannt wie ich? :camera_with_flash:: @photography.ludwig . :smiling_face_with_smiling_eyes: werbung .  Schreibt es mir gerne unten in die Kommentare :backhand_index_pointing_down:  #heidiklum #carmushkis #carmushka #streetstyle #hairsandstyles #nacktshooting #itgirlagenten #outfitinspiration #doreenpresets #outfitideas #gntm2020  #love  #therubinrose  #teamkristina #picoftheday #under10k #support  #weareuniq  #amazing  #ootmagazine  #ootd #regensburg  #happyme  #photography  #shooting  #outfitoftheday  #happy  #fashiongaols  #photooftheday  #blogger_de; B8eeNH5ijch; 12; 1581530463; (1080, 1080); 84; 5193613851; False
False; 2242362095308015430; Hochzeitsstrafe: Straffreiheit durch Hochzeit? Was nach einem schlechten Witz klingt, ist ein ernst gemeinter Gesetzesentwurf. Von welchem Verbrechen man befreit werden soll, besprechen wir. Verwelkte Rosen: Einmal im Jahr verteilt der, so genannte, Traummann der Nation, ein paar Wochen lang Rosen an potenzielle Heiratskandidatinnen. Doch wie schnell und vor allem warum, wird aus dem Macho ein kleiner Junge? Alles für die Quote?: Uns Määdchen laufen wieder. In diesem Jahr hat unsere aller Modelmama ein paar ganz besondere Kandidatinnen. Wir fragen uns, ist es verdient oder nur für die Quote?  https://open.spotify.com/episode/6ua3r818gr5FsIcP2rn6XO?si=rctNJvQOSRa5V_yCAiQzPA  #wassolldas #zwangsehe #gesetz #türkei #turkey #stopit #allesindgleich #dasdarfnichtpassieren #istanbul #letsrutheworld #bachelor #girlpower #macho #rtl #whoruntheworld #armselig #wennmannzumkindwird #rosenkavalier #keingentleman #kissgate #heidiklum #germanysnexttopmodel #gntm #gntm2020 #andersistdasneuenormal #youarebeautiful #tattoomodel #transgender #model #pro7; B8eeHH0oodG; 0; 1581530414; (1080, 1080); 14; 22935266567; False
False; 2242351746626629473; Für Nina-Sue, Daria und Charlotte hat es leider letzte woche nicht gereicht. Fandet Ihr die Entscheidung gerechtfertigt? :thinking_face: Wen wir es wohl morgen treffen :crystal_ball: . Fotos von Germany‘s next Topmodel, ProSieben :copyright: . . . . . . . . . . . . :ribbon: Hashtags: #germanysnexttopmodel2020 #germanysnexttopmodel #gntm2020 #gntm #heidiklum #heidi #model #models #modeling #modelagentur #germanmodels #tfpmodel #tfpmodel #tfpshooting #modelkartei #hamburgmodel #münchenmodel #sedcard #shooting #shootingday #casting #modelcasting #prosieben #ichbingntm2020 #2020; B8ebwh3KC9h; 0; 1581529180; (1080, 1080); 41; 29159849162; False
False; 2242340418784183186; Easy piesy :winking_face: mit dem @ghdhairde :red_heart: @ghdhair @ghd  #blondehair #blond #glanz #blackandwhitephotography #me #haveaniceday #instagood #takecareofyourhair; B8eZLr_IcOS; 10; 1581527829; (1080, 1080); 31; 6002581106; False
False; 2242338708531551345; #Sabine kann mir gar nichts !:squinting_face_with_tongue::snowflake: Es war zwar super kalt aber von nichts kommt nichts ! Ich möchte dieses Jahr unbedingt sportlicher und aktiver werden. Typische Neujahrsvorsätze halt :grinning_face_with_smiling_eyes::woman_shrugging_medium-light_skin_tone: • Wie regelmäßig macht ihr Sport und wie motiviert ihr euch ? •  #moodypose#poserforlife#moodyportraits#presets#presetslightroom#carmushkapresets#kisu#anajohnsonpreset#photoshootideas#inspirationoftheday#needinspiration#newcomer#newoninstagram#newoutfit#gntm#gntm2020#modelings#hobbymodel#fitnessgirlsmotivation#oceansapart; B8eYyzMIZxx; 6; 1581527626; (1080, 1080); 41; 27664975736; False
False; 2242327698190008620; :cherry_blossom::cherry_blossom: #milkbath #gntm2020 #episch #ästhetisch #flowers; B8eWSlAooEs; 20; 1581526313; (1350, 1080); 296; 1293206081; False
False; 2242319117424134527; Mehr Abwechslung auf dem Laufsteg. ⠀ Platinblond mit unserem Silver Shampoo :smiling_face_with_heart-eyes:⠀ Wir drücken Mareike die Daumen #gntm2020⠀ ⠀ Du kannst so aussehen wie du willst, du kannst so verrückt sein wie du willst und du kannst trotzdem schön sein! ⠀ ⠀ #mehranwechslungaufdemlaufsteg #teammareike #hairdoctor #silvershampoo #pflegt #schützt #macht #schöner; B8eUVtjIgl_; 1; 1581525290; (750, 750); 23; 2326824590; False
False; 2242296699657850981; ♡ 𝐓𝐄𝐀𝐌𝐀𝐋𝐈𝐂𝐈𝐉𝐀 ♡ . . @alicijalaureen , wir , #teamalicija , haben das hier für dich gemacht, denn wir wollen dir zeigen wie sehr wir dich mögen und wir werden dich immer unterstützen!!!:heart_suit: WE LOVE YOU :heart_suit: .  ganz besonderes Dank an alle die Makiert sind :smiling_face::smiling_face: ohne euch wäre dieses Edit nicht möglich gewesen!:heart_suit: . . . . .tags #alicijalaureen#teamalicija#alicijaarmy#idol#vorbild#support#gntm#gntm2019#gntm2020#fans#fanedit#edit; B8ePPfYIxBl; 77; 1581522618; (750, 750); 41; 12879667574; False
