comments_disabled; id; edge_media_to_caption; shortcode; edge_media_to_comment; taken_at_timestamp; dimension; edge_liked_by; owner; is_video
False; 1352975383938550479; - German Indian Summer -  Mauerweg :maple_leaf::fallen_leaf::leaf_fluttering_in_wind::sailboat:__________________________  #indiansummer #germany #potsdam #griebnitzsee #herbst #spätsommer #tagderdeutscheneinheit #mauerweg #geocaching #qualitytime #instapic #instatravel #nature #wanderlust #wandern #hike  #hiking #niceday #wochenende #weekend #babelsberg #hometown #crossfitgirl; BLGu_F9gUrP; 2; 1475507256; (1080, 1080); 67; 1050833367; False
False; 1352832970297680287; #potsdam #griebnitzsee #herbst #fall #autumn #oktober #ottobre #october #wherearethesquirrels #deinpotsdam; BLGOms7B6Gf; 2; 1475490278; (1080, 1080); 13; 982497668; False
False; 1352324075477737750; :blue_heart: #lieblingsplatz #griebnitzsee #fahrradtour #friends #beach #waveafterwave #enjoyinglife #sunshineinmypocket #neverendingsummer #naturelovers; BLEa5TsDyEW; 0; 1475429614; (726, 1080); 60; 2154682081; False
False; 1352246552122624671; Bootfahren fetzt :smiling_face_with_sunglasses: :sailboat: #griebnitzsee; BLEJRMcBAqf; 0; 1475420372; (1349, 1080); 4; 2080957837; False
False; 1352225801558543221; #hellooctober #blue #sunday #griebnitzsee #potsdam #heimat #heimatliebe #lake #see #instamoment #instamood #notontheroad #globalnomads #sunshine #skyporn #noclouds #water #october #igersgermany #instaday #igerspotsdam #passionpassport #worlderlust #globalshotz #bluesky #feelslikeholiday #lovelife:red_heart: #igersdaily #autumn #herbst; BLEEjO-A8t1; 3; 1475417898; (1080, 1080); 38; 306491741; False
False; 1348778576493580330; #berlin #griebnitzsee #canoeing #kanoying #kürek #ikilikürek#doublecanoe #doppelruder #summertimeberlin#; BK30vgcjpAq; 0; 1475006957; (479, 640); 14; 3692753274; False
False; 1348443497019180913; Still ruht der See...In diesem Fall der #griebnitzsee in #babelsberg #brandenburg #potsdam #igdaily Foto:@joergkrauthoefer; BK2ojdXg4dx; 1; 1474967013; (1079, 1080); 262; 185155879; False
False; 1347997953226201058; #berlin#griebnitzsee#breuerei #beer#dunklesbier:beer_mug::clinking_beer_mugs: #fun; BK1DP8YAFfi; 6; 1474913900; (1080, 1080); 50; 1536300307; False
False; 1347734230868146043; Sonne, See und ein Auge :camera: @granadillita #griebnitzsee #eye #closeup #auge #sunlight #nofilter; BK0HSRyh7d7; 0; 1474882461; (810, 1080); 16; 55957520; False
False; 1347172843402507612; #potsdam #griebnitzsee #motoryachts #BerlinBoats; BKyHpA-DzVc; 0; 1474815539; (1080, 1080); 4; 2970110896; False
False; 1346588258137809596; Do anybody know the feeling when wind is blowing through your hair ? #freshness #fresh #wind #water #boat #:hundred_points: #like4like #entrepreneurlifestyle #motivational #doubletab #chill #potsdam #wannsee #griebnitzsee #travel #nature; BKwCuLhBCK8; 6; 1474745851; (1080, 1080); 41; 475343109; False
